ProtocolVersion,DebateId,TopicId,FocalCandidate,OpponentCandidate,FocalModel,OpponentModel,FocalPosition,FocalStarted,InterventionDirection,FocalWordsOriginal,OpponentWords,RelativeLengthGap,TargetWords,PresentationOrder,SourceSha256
2026-09-04-exp2b-report-v1,61,cultural_repatriation,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,true,expansion,596,708,0.158192,708,focal_first,b2e83bdb7d4d1dea7a4267ff0f963175c8f9e862d7bd8e9798720b152b17f687
2026-09-04-exp2b-report-v1,62,cultural_repatriation,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,623,497,0.202247,497,focal_first,02ef468a0f46ffb64b0c66e8831c86e61ddf7dd3f7df241b8e611f4698a289e5
2026-09-04-exp2b-report-v1,63,cultural_repatriation,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,true,compression,686,492,0.282799,492,focal_second,7c58a481e9d227a23c9c44932799f1564dd7f988e593b010081b17734a5e4555
2026-09-04-exp2b-report-v1,64,cultural_repatriation,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,666,491,0.262763,491,focal_first,99bd6fd0a37186545be3cb22fdfe31c7581cce2b0a6c2a1470d22d656d7ce75d
2026-09-04-exp2b-report-v1,66,cultural_repatriation,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,A,false,expansion,590,664,0.111446,664,focal_first,57fcefff6c84a3759bff5ee4697e76c6bf725b8cbfdc0bf59ba6c15ecaf5d916
2026-09-04-exp2b-report-v1,68,cultural_repatriation,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,B,true,expansion,559,640,0.126562,640,focal_second,51ff44508cab604ee0fbc2e778dbbbbd0380d631bf98472cef1b53336bc026a3
2026-09-04-exp2b-report-v1,71,cultural_repatriation,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,true,expansion,640,695,0.079137,695,focal_first,6a2d9553207a976e2322a8c1fb548931b50fb81420ee0b06891d71f6f64b0bd5
2026-09-04-exp2b-report-v1,73,de_extinction_ethics,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,true,compression,708,612,0.135593,612,focal_second,b735d7f26951e081d171d051af1b0ec1e38afefda9eb42dc5e81c3792b7ab1a1
2026-09-04-exp2b-report-v1,74,de_extinction_ethics,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,B,true,expansion,608,687,0.114993,687,focal_second,bfbfc0dc39b310963d0cad9536713818d2a2ff1468e9debdf894513e4d144306
2026-09-04-exp2b-report-v1,76,de_extinction_ethics,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,A,false,expansion,599,661,0.093797,661,focal_second,72ff7cb9235340e463c6b40d8d41cdde62a0d1ca947d7aa9fab7187942a919a3
2026-09-04-exp2b-report-v1,78,de_extinction_ethics,Model1,Model2,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,false,compression,679,613,0.097202,613,focal_first,81298bf1640b392c7600b1341ec9155a9e660b0c6c1dadd1229108e5d81e2f42
2026-09-04-exp2b-report-v1,85,de_extinction_ethics,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,706,623,0.117564,623,focal_second,32553016fd94912a48ecec295d522d5b139db2c735ce133b1916f9123b22989d
2026-09-04-exp2b-report-v1,86,de_extinction_ethics,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,617,494,0.199352,494,focal_first,b7671949afaed0bad7b264f1b794530fe1df4c058c8eed451c4c20c4ddfb2b54
2026-09-04-exp2b-report-v1,87,de_extinction_ethics,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,false,expansion,505,630,0.198413,630,focal_second,82535bc9e638ade21706e668d72cfe1613c8685fc8c5fa71c25a33ba060ffc84
2026-09-04-exp2b-report-v1,88,de_extinction_ethics,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,674,587,0.129080,587,focal_first,98d29374df872cc0b056c87d49afa9d8a94031b0d6bf12c2d81bb515d6345c1f
2026-09-04-exp2b-report-v1,89,de_extinction_ethics,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,A,true,expansion,461,595,0.225210,595,focal_second,3fd4ed48235ae375168c7e3b4f8729307ca6cc29566c883b82a68fb691fd650a
2026-09-04-exp2b-report-v1,94,de_extinction_ethics,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,true,expansion,599,687,0.128093,687,focal_second,19e98b65b47cdd2735bdcb99715085596edad9c8a07984aa1bcc5398d328d892
2026-09-04-exp2b-report-v1,98,digital_media_ownership,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,B,true,expansion,587,742,0.208895,742,focal_first,1f11c5c6cc2227fbf8294c8c4033d8641258e0522f251e8e73ffba65f01e53ad
2026-09-04-exp2b-report-v1,100,digital_media_ownership,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,A,false,expansion,600,688,0.127907,688,focal_first,3bd5ca770e207eef52520677da4e1e55c7a0277d564ccca05f7a8e8e4e9cb82a
2026-09-04-exp2b-report-v1,101,digital_media_ownership,Model1,Model2,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,true,compression,702,646,0.079772,646,focal_first,14c5647ed817771b2d36e1d7ba98be0d43d1f0d01b114c058234e1587cfea3ac
2026-09-04-exp2b-report-v1,102,digital_media_ownership,Model1,Model2,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,false,compression,705,623,0.116312,623,focal_first,410fee9a41d13187bfbaefeaa9dea1fbe0762e1cc8f721bdab455a4e8a31e0b4
2026-09-04-exp2b-report-v1,106,digital_media_ownership,Model2,Model1,gemma-4-31b-it,apertus-70b-instruct-2509,B,true,expansion,630,704,0.105114,704,focal_first,0a4f85ee1c47752c373b8adca50639456fbc255a98905e86c286c6d446abac06
